year,cp,name,population,select,menor,mayor
1900,22001,Abiego,1383,Abiego,8.43,31.22
1900,22002,Abizanda,463,Abizanda,9.27,27.15
1900,22003,Adahuesca,725,Adahuesca,16.27,27.90
1900,22004,Agüero,1182,Agüero,3.84,40.00
1900,22006,Aísa,733,Aísa,11.21,24.61
1900,22007,Albalate de Cinca,1519,Albalate de Cinca,14.33,23.95
1900,22008,Albalatillo,464,Albalatillo,8.83,44.19
1900,22009,Albelda,1213,Albelda,13.17,36.19
1900,22011,Albero Alto,360,Albero Alto,17.14,23.80
1900,22012,Albero Bajo,205,Albero Bajo,18.43,21.27
1900,22013,Alberuela de Tubo,238,Alberuela de Tubo,7.76,33.33
1900,22014,Alcalá de Gurrea,638,Alcalá de Gurrea,4.87,40.65
1900,22015,Alcalá del Obispo,1328,Alcalá del Obispo,5.23,36.00
1900,22016,Alcampell,1983,Alcampell,8.89,44.01
1900,22017,Alcolea de Cinca,2409,Alcolea de Cinca,14.05,24.31
1900,22018,Alcubierre,1530,Alcubierre,8.81,36.63
1900,22019,Alerre,227,Alerre,11.44,31.34
1900,22020,Alfántega,309,Alfántega,8.66,35.43
1900,22021,Almudévar,2983,Almudévar,17.75,26.85
1900,22022,Almunia de San Juan,954,Almunia de San Juan,14.98,27.06
1900,22023,Almuniente,512,Almuniente,13.16,30.99
1900,22024,Alquézar,1313,Alquézar,8.10,29.05
1900,22025,Altorricón,532,Altorricón,16.74,26.33
1900,22027,Angüés,1912,Angüés,9.26,35.96
1900,22028,Ansó,1549,Ansó,10.67,37.35
1900,22029,Antillón,393,Antillón,13.42,34.89
1900,22032,Aragüés del Puerto,546,Aragüés del Puerto,9.48,30.17
1900,22035,Arén,2119,Arén,7.54,27.67
1900,22036,Argavieso,322,Argavieso,9.37,46.87
1900,22037,Arguis,570,Arguis,10.07,19.37
1900,22039,Ayerbe,2609,Ayerbe,17.19,30.64
1900,22040,Azanuy-Alins,1221,Azanuy-Alins,14.20,35.22
1900,22041,Azara,513,Azara,11.49,32.75
1900,22042,Azlor,537,Azlor,15.68,32.02
1900,22043,Baélls,737,Baélls,8.65,39.42
1900,22044,Bailo,1488,Bailo,7.88,30.82
1900,22045,Baldellou,813,Baldellou,2.59,46.75
1900,22046,Ballobar,2333,Ballobar,13.73,31.59
1900,22047,Banastás,113,Banastás,18.49,17.12
1900,22048,Barbastro,7301,Barbastro,19.22,20.28
1900,22049,Barbués,218,Barbués,3.89,32.46
1900,22050,Barbuñales,425,Barbuñales,2.10,42.10
1900,22051,Bárcabo,829,Bárcabo,2.85,36.19
1900,22052,Belver de Cinca,1666,Belver de Cinca,15.71,25.77
1900,22053,Benabarre,2887,Benabarre,16.07,29.26
1900,22054,Benasque,1598,Benasque,17.70,10.61
1900,22055,Berbegal,1109,Berbegal,7.82,28.69
1900,22057,Bielsa,971,Bielsa,14.28,24.57
1900,22058,Bierge,1581,Bierge,9.95,29.87
1900,22059,Biescas,3509,Biescas,15.41,21.29
1900,22060,Binaced,1774,Binaced,16.01,23.66
1900,22061,Binéfar,1556,Binéfar,19.89,20.28
1900,22062,Bisaurri,813,Bisaurri,9.39,30.93
1900,22063,Biscarrués,810,Biscarrués,7.93,32.80
1900,22064,Blecua y Torres,769,Blecua y Torres,11.47,31.14
1900,22066,Boltaña,1926,Boltaña,17.03,17.54
1900,22067,Bonansa,421,Bonansa,15.11,26.74
1900,22068,Borau,460,Borau,6.25,23.75
1900,22069,Broto,1758,Broto,15.44,20.15
1900,22072,Caldearenas,1483,Caldearenas,10.55,29.81
1900,22074,Campo,806,Campo,10.21,31.57
1900,22075,Camporrells,997,Camporrells,7.29,42.33
1900,22076,Canal de Berdún,2022,Canal de Berdún,8.41,37.07
1900,22077,Candasnos,1063,Candasnos,0,48.89
1900,22078,Canfranc,770,Canfranc,15.60,16.91
1900,22079,Capdesaso,490,Capdesaso,6.32,25.28
1900,22080,Capella,1008,Capella,13.27,30.79
1900,22081,Casbas de Huesca,2195,Casbas de Huesca,6.69,34.57
1900,22082,Castejón del Puente,621,Castejón del Puente,9.52,32.38
1900,22083,Castejón de Monegros,1594,Castejón de Monegros,9.22,37.66
1900,22084,Castejón de Sos,813,Castejón de Sos,19.65,16.60
1900,22085,Castelflorite,247,Castelflorite,6.48,41.66
1900,22086,Castiello de Jaca,523,Castiello de Jaca,14.60,16.10
1900,22087,Castigaleu,266,Castigaleu,17.44,24.41
1900,22088,Castillazuelo,757,Castillazuelo,11.83,42.60
1900,22089,Castillonroy,863,Castillonroy,10.57,31.08
1900,22090,Colungo,702,Colungo,5.26,42.98
1900,22094,Chalamera,427,Chalamera,12.96,34.25
1900,22095,Chía,602,Chía,17.44,32.55
1900,22096,Chimillas,189,Chimillas,19.18,17.64
1900,22099,Esplús,549,Esplús,10.72,34.38
1900,22102,Estada,524,Estada,8.33,28.43
1900,22103,Estadilla,1752,Estadilla,12.46,31.23
1900,22105,Estopiñán del Castillo,1486,Estopiñán del Castillo,14.28,34.12
1900,22106,Fago,419,Fago,13.04,30.43
1900,22107,Fanlo,1065,Fanlo,2.06,30.92
1900,22109,Fiscal,2505,Fiscal,14.06,21.40
1900,22110,Fonz,2006,Fonz,13.21,33.56
1900,22111,Foradada del Toscar,665,Foradada del Toscar,7.51,36.41
1900,22112,Fraga,6934,Fraga,20.33,16.83
1900,22113,Fueva La,2691,Fueva La,16.24,26.63
1900,22114,Gistaín,444,Gistaín,13.42,40.93
1900,22115,Grado El,1605,Grado El,10.32,32.62
1900,22116,Grañén,1431,Grañén,12.60,27.43
1900,22117,Graus,6259,Graus,16.27,24.11
1900,22119,Gurrea de Gállego,1401,Gurrea de Gállego,10.50,32.52
1900,22122,Hoz de Jaca,160,Hoz de Jaca,14.47,28.94
1900,22124,Huerto,970,Huerto,11.46,32.56
1900,22125,Huesca,13683,Huesca,19.50,19.91
1900,22126,Ibieca,417,Ibieca,7.21,39.17
1900,22127,Igriés,446,Igriés,25.81,11.34
1900,22128,Ilche,720,Ilche,6.13,36.32
1900,22129,Isábena,1246,Isábena,7.98,26.89
1900,22130,Jaca,8964,Jaca,18.00,19.05
1900,22131,Jasa,467,Jasa,9.78,27.17
1900,22133,Labuerda,425,Labuerda,13.58,17.90
1900,22135,Laluenga,794,Laluenga,7.73,38.65
1900,22136,Lalueza,867,Lalueza,10.40,32.20
1900,22137,Lanaja,1839,Lanaja,8.98,32.86
1900,22139,Laperdiguera,369,Laperdiguera,7.69,32.96
1900,22141,Lascellas-Ponzano,996,Lascellas-Ponzano,13.49,27.77
1900,22142,Lascuarre,581,Lascuarre,16.91,29.41
1900,22143,Laspaúles,1065,Laspaúles,8.26,34.34
1900,22144,Laspuña,501,Laspuña,10.99,31.61
1900,22149,Loarre,1771,Loarre,6.04,37.16
1900,22150,Loporzano,3139,Loporzano,9.96,30.45
1900,22151,Loscorrales,371,Loscorrales,13.20,28.30
1900,22155,Monesma y Cajigar,513,Monesma y Cajigar,2.73,35.61
1900,22156,Monflorite-Lascasas,452,Monflorite-Lascasas,20.09,11.91
1900,22157,Montanuy,1395,Montanuy,9.76,23.25
1900,22158,Monzón,5037,Monzón,20.20,18.98
1900,22160,Naval,1550,Naval,13.75,27.13
1900,22162,Novales,400,Novales,11.61,27.09
1900,22163,Nueno,1249,Nueno,18.79,23.68
1900,22164,Olvena,384,Olvena,20.00,46.00
1900,22165,Ontiñena,1862,Ontiñena,9.94,31.89
1900,22167,Osso de Cinca,728,Osso de Cinca,11.06,25.47
1900,22168,Palo,288,Palo,7.40,44.44
1900,22170,Panticosa,889,Panticosa,14.63,15.77
1900,22172,Peñalba,1158,Peñalba,11.73,30.06
1900,22173,Peñas de Riglos Las,2226,Peñas de Riglos Las,9.16,29.08
1900,22174,Peralta de Alcofea,2207,Peralta de Alcofea,8.71,36.47
1900,22175,Peralta de Calasanz,2404,Peralta de Calasanz,8.21,39.26
1900,22176,Peraltilla,439,Peraltilla,11.55,23.61
1900,22177,Perarrúa,689,Perarrúa,11.00,33.02
1900,22178,Pertusa,705,Pertusa,9.09,32.72
1900,22181,Piracés,242,Piracés,10.20,36.73
1900,22182,Plan,1124,Plan,15.33,28.91
1900,22184,Poleñino,512,Poleñino,10.00,28.00
1900,22186,Pozán de Vero,885,Pozán de Vero,13.76,30.73
1900,22187,Puebla de Castro La,887,Puebla de Castro La,17.20,23.38
1900,22188,Puente de Montañana,822,Puente de Montañana,6.45,41.93
1900,22189,Puértolas,1049,Puértolas,12.55,27.90
1900,22190,Pueyo de Araguás El,492,Pueyo de Araguás El,20.77,23.37
1900,22193,Pueyo de Santa Cruz,420,Pueyo de Santa Cruz,13.05,28.98
1900,22195,Quicena,259,Quicena,16.60,17.31
1900,22197,Robres,1064,Robres,11.27,31.05
1900,22199,Sabiñánigo,4884,Sabiñánigo,16.97,21.70
1900,22200,Sahún,871,Sahún,16.32,23.80
1900,22201,Salas Altas,998,Salas Altas,12.33,33.44
1900,22202,Salas Bajas,601,Salas Bajas,13.77,26.94
1900,22203,Salillas,367,Salillas,7.29,40.62
1900,22204,Sallent de Gállego,1420,Sallent de Gállego,17.49,15.72
1900,22205,San Esteban de Litera,1532,San Esteban de Litera,8.69,36.16
1900,22206,Sangarrén,509,Sangarrén,6.39,40.63
1900,22207,San Juan de Plan,361,San Juan de Plan,16.44,24.34
1900,22208,Santa Cilia,567,Santa Cilia,19.91,19.04
1900,22209,Santa Cruz de la Serós,422,Santa Cruz de la Serós,11.66,20.00
1900,22212,Santaliestra y San Quílez,366,Santaliestra y San Quílez,9.87,40.74
1900,22213,Sariñena,4029,Sariñena,16.69,21.97
1900,22214,Secastilla,850,Secastilla,11.64,26.71
1900,22215,Seira,311,Seira,7.33,32.66
1900,22217,Sena,1071,Sena,12.47,30.67
1900,22218,Senés de Alcubierre,143,Senés de Alcubierre,7.31,36.58
1900,22220,Sesa,881,Sesa,6.58,43.11
1900,22221,Sesué,360,Sesué,21.25,15.74
1900,22222,Siétamo,1584,Siétamo,20.18,16.11
1900,22223,Sopeira,889,Sopeira,15.95,23.40
1900,22225,Tamarite de Litera,3517,Tamarite de Litera,16.29,25.93
1900,22226,Tardienta,1531,Tardienta,14.81,30.88
1900,22227,Tella-Sin,717,Tella-Sin,6.19,37.16
1900,22228,Tierz,310,Tierz,29.15,8.70
1900,22229,Tolva,962,Tolva,6.50,37.39
1900,22230,Torla-Ordesa,988,Torla-Ordesa,7.38,28.85
1900,22232,Torralba de Aragón,443,Torralba de Aragón,7.76,32.03
1900,22233,Torre la Ribera,362,Torre la Ribera,8.82,33.33
1900,22234,Torrente de Cinca,1382,Torrente de Cinca,10.71,24.56
1900,22235,Torres de Alcanadre,499,Torres de Alcanadre,0,48.91
1900,22236,Torres de Barbués,202,Torres de Barbués,5.26,31.95
1900,22239,Tramaced,111,Tramaced,7.07,44.44
1900,22242,Valfarta,309,Valfarta,7.24,43.47
1900,22243,Valle de Bardají,221,Valle de Bardají,0,58.82
1900,22244,Valle de Lierp,212,Valle de Lierp,6.52,58.69
1900,22245,Velilla de Cinca,1089,Velilla de Cinca,17.06,25.26
1900,22246,Beranuy,651,Beranuy,8.97,34.61
1900,22247,Viacamp y Litera,820,Viacamp y Litera,5.55,22.22
1900,22248,Vicién,374,Vicién,7.75,33.62
1900,22249,Villanova,279,Villanova,25.15,16.98
1900,22250,Villanúa,959,Villanúa,13.87,21.70
1900,22251,Villanueva de Sigena,900,Villanueva de Sigena,9.89,25.38
1900,22252,Yebra de Basa,867,Yebra de Basa,12.24,31.97
1900,22253,Yésero,288,Yésero,3.33,48.33
1900,22254,Zaidín,1907,Zaidín,14.93,22.94
1900,22901,Valle de Hecho,2935,Valle de Hecho,11.44,28.60
1900,22902,Puente la Reina de Jaca,848,Puente la Reina de Jaca,13.84,30.00
1900,22903,San Miguel del Cinca,1922,San Miguel del Cinca,15.62,27.67
1900,22904,Sotonera La,3972,Sotonera La,10.62,34.78
1900,22905,Lupiñén-Ortilla,1138,Lupiñén-Ortilla,14.07,28.73
1900,22906,Santa María de Dulcis,644,Santa María de Dulcis,11.05,30.76
1900,22907,Aínsa-Sobrarbe,3680,Aínsa-Sobrarbe,18.78,17.20
1900,22908,Hoz y Costeán,1390,Hoz y Costeán,10.61,35.39
1910,22001,Abiego,1440,,19.04,26.81
1910,22002,Abizanda,472,,,
1910,22003,Adahuesca,631,,,
1910,22004,Agüero,1253,,,
1910,22006,Aísa,787,,,
1910,22007,Albalate de Cinca,1636,,,
1910,22008,Albalatillo,497,,,
1910,22009,Albelda,1357,,,
1910,22011,Albero Alto,383,,,
1910,22012,Albero Bajo,214,,,
1910,22013,Alberuela de Tubo,219,,,
1910,22014,Alcalá de Gurrea,679,,,
1910,22015,Alcalá del Obispo,1428,,,
1910,22016,Alcampell,2388,,,
1910,22017,Alcolea de Cinca,2504,,,
1910,22018,Alcubierre,1500,,,
1910,22019,Alerre,225,,,
1910,22020,Alfántega,322,,,
1910,22021,Almudévar,3163,,,
1910,22022,Almunia de San Juan,1190,,,
1910,22023,Almuniente,573,,,
1910,22024,Alquézar,1356,,,
1910,22025,Altorricón,621,,,
1910,22027,Angüés,1983,,,
1910,22028,Ansó,1474,,,
1910,22029,Antillón,408,,,
1910,22032,Aragüés del Puerto,542,,,
1910,22035,Arén,2085,,,
1910,22036,Argavieso,324,,,
1910,22037,Arguis,580,,,
1910,22039,Ayerbe,2727,,,
1910,22040,Azanuy-Alins,1243,,,
1910,22041,Azara,490,,,
1910,22042,Azlor,576,,,
1910,22043,Baélls,780,,,
1910,22044,Bailo,1533,,,
1910,22045,Baldellou,807,,,
1910,22046,Ballobar,2389,,,
1910,22047,Banastás,116,,,
1910,22048,Barbastro,7417,,,
1910,22049,Barbués,283,,,
1910,22050,Barbuñales,401,,,
1910,22051,Bárcabo,825,,,
1910,22052,Belver de Cinca,1952,,,
1910,22053,Benabarre,2966,,,
1910,22054,Benasque,1331,,,
1910,22055,Berbegal,1150,,,
1910,22057,Bielsa,1035,,,
1910,22058,Bierge,1680,,,
1910,22059,Biescas,3618,,,
1910,22060,Binaced,1925,,,
1910,22061,Binéfar,2109,,,
1910,22062,Bisaurri,892,,,
1910,22063,Biscarrués,822,,,
1910,22064,Blecua y Torres,784,,,
1910,22066,Boltaña,1896,,,
1910,22067,Bonansa,443,,,
1910,22068,Borau,460,,,
1910,22069,Broto,1822,,,
1910,22072,Caldearenas,1512,,,
1910,22074,Campo,828,,,
1910,22075,Camporrells,902,,,
1910,22076,Canal de Berdún,2066,,,
1910,22077,Candasnos,1054,,,
1910,22078,Canfranc,774,,,
1910,22079,Capdesaso,511,,,
1910,22080,Capella,1064,,,
1910,22081,Casbas de Huesca,2155,,,
1910,22082,Castejón del Puente,612,,,
1910,22083,Castejón de Monegros,1575,,,
1910,22084,Castejón de Sos,900,,,
1910,22085,Castelflorite,285,,,
1910,22086,Castiello de Jaca,531,,,
1910,22087,Castigaleu,269,,,
1910,22088,Castillazuelo,781,,,
1910,22089,Castillonroy,887,,,
1910,22090,Colungo,662,,,
1910,22094,Chalamera,475,,,
1910,22095,Chía,444,,,
1910,22096,Chimillas,218,,,
1910,22099,Esplús,747,,,
1910,22102,Estada,514,,,
1910,22103,Estadilla,1668,,,
1910,22105,Estopiñán del Castillo,1443,,,
1910,22106,Fago,372,,,
1910,22107,Fanlo,1084,,,
1910,22109,Fiscal,2495,,,
1910,22110,Fonz,2338,,,
1910,22111,Foradada del Toscar,686,,,
1910,22112,Fraga,7418,,,
1910,22113,Fueva La,2722,,,
1910,22114,Gistaín,479,,,
1910,22115,Grado El,1486,,,
1910,22116,Grañén,1478,,,
1910,22117,Graus,6478,,,
1910,22119,Gurrea de Gállego,1642,,,
1910,22122,Hoz de Jaca,159,,,
1910,22124,Huerto,1026,,,
1910,22125,Huesca,13964,,,
1910,22126,Ibieca,402,,,
1910,22127,Igriés,458,,,
1910,22128,Ilche,691,,,
1910,22129,Isábena,1288,,,
1910,22130,Jaca,9172,,,
1910,22131,Jasa,420,,,
1910,22133,Labuerda,455,,,
1910,22135,Laluenga,850,,,
1910,22136,Lalueza,951,,,
1910,22137,Lanaja,2090,,,
1910,22139,Laperdiguera,364,,,
1910,22141,Lascellas-Ponzano,990,,,
1910,22142,Lascuarre,551,,,
1910,22143,Laspaúles,1165,,,
1910,22144,Laspuña,502,,,
1910,22149,Loarre,1788,,,
1910,22150,Loporzano,3181,,,
1910,22151,Loscorrales,393,,,
1910,22155,Monesma y Cajigar,561,,,
1910,22156,Monflorite-Lascasas,491,,,
1910,22157,Montanuy,1457,,,
1910,22158,Monzón,5368,,,
1910,22160,Naval,1439,,,
1910,22162,Novales,459,,,
1910,22163,Nueno,1230,,,
1910,22164,Olvena,342,,,
1910,22165,Ontiñena,1989,,,
1910,22167,Osso de Cinca,812,,,
1910,22168,Palo,311,,,
1910,22170,Panticosa,835,,,
1910,22172,Peñalba,1331,,,
1910,22173,Peñas de Riglos Las,2633,,,
1910,22174,Peralta de Alcofea,2320,,,
1910,22175,Peralta de Calasanz,2464,,,
1910,22176,Peraltilla,476,,,
1910,22177,Perarrúa,694,,,
1910,22178,Pertusa,623,,,
1910,22181,Piracés,276,,,
1910,22182,Plan,1096,,,
1910,22184,Poleñino,556,,,
1910,22186,Pozán de Vero,914,,,
1910,22187,Puebla de Castro La,837,,,
1910,22188,Puente de Montañana,809,,,
1910,22189,Puértolas,1060,,,
1910,22190,Pueyo de Araguás El,493,,,
1910,22193,Pueyo de Santa Cruz,512,,,
1910,22195,Quicena,285,,,
1910,22197,Robres,1030,,,
1910,22199,Sabiñánigo,5063,,,
1910,22200,Sahún,711,,,
1910,22201,Salas Altas,1071,,,
1910,22202,Salas Bajas,588,,,
1910,22203,Salillas,414,,,
1910,22204,Sallent de Gállego,1427,,,
1910,22205,San Esteban de Litera,1806,,,
1910,22206,Sangarrén,532,,,
1910,22207,San Juan de Plan,367,,,
1910,22208,Santa Cilia,606,,,
1910,22209,Santa Cruz de la Serós,412,,,
1910,22212,Santaliestra y San Quílez,379,,,
1910,22213,Sariñena,4424,,,
1910,22214,Secastilla,855,,,
1910,22215,Seira,309,,,
1910,22217,Sena,1161,,,
1910,22218,Senés de Alcubierre,178,,,
1910,22220,Sesa,911,,,
1910,22221,Sesué,385,,,
1910,22222,Siétamo,1627,,,
1910,22223,Sopeira,847,,,
1910,22225,Tamarite de Litera,4156,,,
1910,22226,Tardienta,1698,,,
1910,22227,Tella-Sin,737,,,
1910,22228,Tierz,316,,,
1910,22229,Tolva,955,,,
1910,22230,Torla-Ordesa,1016,,,
1910,22232,Torralba de Aragón,420,,,
1910,22233,Torre la Ribera,401,,,
1910,22234,Torrente de Cinca,1409,,,
1910,22235,Torres de Alcanadre,492,,,
1910,22236,Torres de Barbués,238,,,
1910,22239,Tramaced,111,,,
1910,22242,Valfarta,346,,,
1910,22243,Valle de Bardají,186,,,
1910,22244,Valle de Lierp,231,,,
1910,22245,Velilla de Cinca,1238,,,
1910,22246,Beranuy,765,,,
1910,22247,Viacamp y Litera,800,,,
1910,22248,Vicién,328,,,
1910,22249,Villanova,324,,,
1910,22250,Villanúa,1114,,,
1910,22251,Villanueva de Sigena,974,,,
1910,22252,Yebra de Basa,888,,,
1910,22253,Yésero,311,,,
1910,22254,Zaidín,2091,,,
1910,22901,Valle de Hecho,2701,,,
1910,22902,Puente la Reina de Jaca,841,,,
1910,22903,San Miguel del Cinca,1941,,,
1910,22904,Sotonera La,4073,,,
1910,22905,Lupiñén-Ortilla,1181,,,
1910,22906,Santa María de Dulcis,622,,,
1910,22907,Aínsa-Sobrarbe,3800,,,
1910,22908,Hoz y Costeán,1383,,,
1920,22001,Abiego,1401,,,
1920,22002,Abizanda,446,,,
1920,22003,Adahuesca,647,,,
1920,22004,Agüero,1177,,,
1920,22006,Aísa,814,,,
1920,22007,Albalate de Cinca,1590,,,
1920,22008,Albalatillo,549,,,
1920,22009,Albelda,1481,,,
1920,22011,Albero Alto,321,,,
1920,22012,Albero Bajo,208,,,
1920,22013,Alberuela de Tubo,244,,,
1920,22014,Alcalá de Gurrea,883,,,
1920,22015,Alcalá del Obispo,1332,,,
1920,22016,Alcampell,2467,,,
1920,22017,Alcolea de Cinca,2647,,,
1920,22018,Alcubierre,1422,,,
1920,22019,Alerre,222,,,
1920,22020,Alfántega,279,,,
1920,22021,Almudévar,3215,,,
1920,22022,Almunia de San Juan,1213,,,
1920,22023,Almuniente,626,,,
1920,22024,Alquézar,1171,,,
1920,22025,Altorricón,856,,,
1920,22027,Angüés,1826,,,
1920,22028,Ansó,1226,,,
1920,22029,Antillón,422,,,
1920,22032,Aragüés del Puerto,519,,,
1920,22035,Arén,1933,,,
1920,22036,Argavieso,331,,,
1920,22037,Arguis,548,,,
1920,22039,Ayerbe,2716,,,
1920,22040,Azanuy-Alins,1203,,,
1920,22041,Azara,458,,,
1920,22042,Azlor,552,,,
1920,22043,Baélls,780,,,
1920,22044,Bailo,1427,,,
1920,22045,Baldellou,644,,,
1920,22046,Ballobar,2292,,,
1920,22047,Banastás,141,,,
1920,22048,Barbastro,8309,,,
1920,22049,Barbués,253,,,
1920,22050,Barbuñales,440,,,
1920,22051,Bárcabo,803,,,
1920,22052,Belver de Cinca,2056,,,
1920,22053,Benabarre,2818,,,
1920,22054,Benasque,1328,,,
1920,22055,Berbegal,1079,,,
