year,saldo,nacidos,fallecidos
1975,553,2794,2241
1976,765,2806,2041
1977,911,2790,1879
1978,785,2703,1918
1979,699,2609,1910
1980,748,2687,1939
1981,483,2327,1844
1982,539,2304,1765
1983,-20,2107,2127
1984,-115,2039,2154
1985,-210,1986,2196
1986,-240,1949,2189
1987,-295,1832,2127
1988,-419,1721,2140
1989,-424,1675,2099
1990,-434,1641,2075
1991,-474,1679,2153
1992,-284,1721,2005
1993,-621,1493,2114
1994,-612,1647,2259
1995,-785,1569,2354
1996,-909,1603,2512
1997,-840,1556,2396
1998,-890,1552,2442
1999,-982,1589,2571
2000,-776,1573,2349
2001,-764,1648,2412
2002,-870,1623,2493
2003,-887,1652,2539
2004,-603,1840,2443
2005,-782,1801,2583
2006,-537,1898,2435
2007,-446,1944,2390
2008,-333,2141,2474
2009,-406,2072,2478
2010,-500,1995,2495
2011,-548,1929,2477
2012,-660,1899,2559
2013,-518,1921,2439
2014,-780,1733,2513
2015,-856,1870,2726
2016,-803,1721,2524
2017,-867,1723,2590
