cp,name,percentage,dosmildiecinueve,dosmildieciocho
50001,Abanto,3.09,100,97
50002,Acered,0.60,166,165
50003,Agón,-6.16,137,146
50004,Aguarón,0.79,636,631
50005,Aguilón,6.80,251,235
50006,Ainzón,-0.73,1077,1085
50007,Aladrén,0,52,52
50008,Alagón,0.97,7163,7094
50009,Alarba,-6.76,124,133
50010,Alberite de San Juan,-4.16,69,72
50011,Albeta,0.75,133,132
50012,Alborge,-0.92,107,108
50013,Alcalá de Ebro,-1.99,246,251
50014,Alcalá de Moncayo,-0.69,143,144
50015,Alconchel de Ariza,-1.58,62,63
50016,Aldehuela de Liestos,-2.04,48,49
50017,Alfajarín,0.12,2315,2312
50018,Alfamén,0.34,1446,1441
50019,Alforque,9.67,68,62
50020,Alhama de Aragón,-1.54,1020,1036
50021,Almochuel,-13.79,25,29
50022,La Almolda,-2.46,553,567
50023,Almonacid de la Cuba,-3.57,243,252
50024,Almonacid de la Sierra,6.36,735,691
50025,La Almunia de Doña Godina,1.68,7951,7819
50026,Alpartir,-4.14,555,579
50027,Ambel,-0.78,254,256
50028,Anento,11.57,106,95
50029,Aniñón,-0.28,706,708
50030,Añón de Moncayo,-0.46,212,213
50031,Aranda de Moncayo,-5.00,152,160
50032,Arándiga,-2.26,302,309
50033,Ardisa,-2.77,70,72
50034,Ariza,-2.10,1115,1139
50035,Artieda,9.58,80,73
50036,Asín,14.58,110,96
50037,Atea,-3.20,151,156
50038,Ateca,-1.72,1762,1793
50039,Azuara,-0.55,540,543
50040,Badules,2.40,85,83
50041,Bagüés,41.66,17,12
50042,Balconchán,-5.88,16,17
50043,Bárboles,-2.33,293,300
50044,Bardallur,-2.68,254,261
50045,Belchite,-1.50,1505,1528
50046,Belmonte de Gracián,-0.50,197,198
50047,Berdejo,0,47,47
50048,Berrueco,3.03,34,33
50050,Bijuesca,-4.08,94,98
50051,Biota,-0.73,941,948
50052,Bisimbre,-5.15,92,97
50053,Boquiñeni,-2.59,787,808
50054,Bordalba,0,56,56
50055,Borja,0.95,4969,4922
50056,Botorrita,-2.00,488,498
50057,Brea de Aragón,-3.36,1609,1665
50058,Bubierca,4.76,66,63
50059,Bujaraloz,-1.99,985,1005
50060,Bulbuente,1.84,221,217
50061,Bureta,-1.38,214,217
50062,El Burgo de Ebro,0.16,2436,2432
50063,El Buste,-8.33,66,72
50064,Cabañas de Ebro,1.40,505,498
50065,Cabolafuente,3.12,33,32
50066,Cadrete,3.62,4032,3891
50067,Calatayud,-0.05,20024,20035
50068,Calatorao,0.69,2881,2861
50069,Calcena,-4.00,72,75
50070,Calmarza,-3.38,57,59
50071,Campillo de Aragón,-1.34,147,149
50072,Carenas,20.33,213,177
50073,Cariñena,0.79,3302,3276
50074,Caspe,2.34,9748,9525
50075,Castejón de Alarba,-1.08,91,92
50076,Castejón de las Armas,-3.33,87,90
50077,Castejón de Valdejasa,-4.97,210,221
50078,Castiliscar,-0.75,263,265
50079,Cervera de la Cañada,0,271,271
50080,Cerveruela,-5.71,33,35
50081,Cetina,0.16,593,592
50082,Cimballa,4.30,97,93
50083,Cinco Olivas,-5.35,106,112
50084,Clarés de Ribota,1.53,66,65
50085,Codo,1.51,201,198
50086,Codos,27.86,234,183
50087,Contamina,0,37,37
50088,Cosuenda,-0.81,364,367
50089,Cuarte de Huerva,1.89,13303,13055
50090,Cubel,-7.73,155,168
50091,Cuerlas Las,5.12,41,39
50092,Chiprana,2.95,523,508
50093,Chodes,-7.96,104,113
50094,Daroca,-0.65,1983,1996
50095,Ejea de los Caballeros,1.07,16783,16605
50096,Embid de Ariza,2.77,37,36
50098,Encinacorba,-5.82,178,189
50099,Épila,-0.36,4386,4402
50100,Erla,-0.86,342,345
50101,Escatrón,2.43,1051,1026
50102,Fabara,-2.34,1125,1152
50104,Farlete,-1.81,379,386
50105,Fayón,7.06,379,354
50106,Fayos Los,-1.41,139,141
50107,Figueruelas,1.53,1259,1240
50108,Fombuena,3.70,56,54
50109,Frago El,0,99,99
50110,Frasno El,-1.04,380,384
50111,Fréscano,0.99,204,202
50113,Fuendejalón,-1.89,778,793
50114,Fuendetodos,19.83,145,121
50115,Fuentes de Ebro,-0.85,4504,4543
50116,Fuentes de Jiloca,0.87,231,229
50117,Gallocanta,-1.29,152,154
50118,Gallur,-1.21,2596,2628
50119,Gelsa,1.80,1013,995
50120,Godojos,0,54,54
50121,Gotor,3.92,318,306
50122,Grisel,10.44,74,67
50123,Grisén,-1.34,589,597
50124,Herrera de los Navarros,0,506,506
50125,Ibdes,0,404,404
50126,Illueca,-1.34,2924,2964
50128,Isuerre,0,31,31
50129,Jaraba,0,280,280
50130,Jarque,-0.22,435,436
50131,Jaulín,-0.84,235,237
50132,Joyosa La,0.09,1073,1072
50133,Lagata,0,111,111
50134,Langa del Castillo,-8.33,121,132
50135,Layana,-3.00,97,100
50136,Lécera,-4.23,633,661
50137,Leciñena,-0.60,1155,1162
50138,Lechón,-3.77,51,53
50139,Letux,6.43,364,342
50140,Litago,-3.01,161,166
50141,Lituénigo,-5.51,120,127
50142,Lobera de Onsella,0,28,28
50143,Longares,6.29,811,763
50144,Longás,-11.42,31,35
50146,Lucena de Jalón,1.26,240,237
50147,Luceni,1.16,956,945
50148,Luesia,-7.09,288,310
50149,Luesma,2.94,35,34
50150,Lumpiaque,-1.57,814,827
50151,Luna,-0.42,698,701
50152,Maella,-1.09,1985,2007
50153,Magallón,-0.44,1128,1133
50154,Mainar,2.64,155,151
50155,Malanquilla,-8.00,92,100
50156,Maleján,0,259,259
50157,Malón,10.21,356,323
50159,Maluenda,-2.12,922,942
50160,Mallén,-1.55,3035,3083
50161,Manchones,16.32,114,98
50162,Mara,-7.18,168,181
50163,María de Huerva,2.63,5812,5663
50164,Mediana de Aragón,-0.86,461,465
50165,Mequinenza,0.99,2324,2301
50166,Mesones de Isuela,-2.58,264,271
50167,Mezalocha,-0.83,238,240
50168,Mianos,-6.25,30,32
50169,Miedes de Aragón,0.23,433,432
50170,Monegrillo,-1.93,405,413
50171,Moneva,3.19,97,94
50172,Monreal de Ariza,-5.66,200,212
50173,Monterde,-1.25,157,159
50174,Montón,0,94,94
50175,Morata de Jalón,-1.64,1079,1097
50176,Morata de Jiloca,7.09,302,282
50177,Morés,-3.29,323,334
50178,Moros,-5.24,343,362
50179,Moyuela,14.28,280,245
50180,Mozota,-6.15,122,130
50181,Muel,3.37,1378,1333
50182,Muela La,5.56,5784,5479
50183,Munébrega,-3.63,371,385
50184,Murero,-8.41,98,107
50185,Murillo de Gállego,5.17,183,174
50186,Navardún,-5.00,38,40
50187,Nigüella,-6.06,62,66
50188,Nombrevilla,6.89,31,29
50189,Nonaspe,-0.10,961,962
50190,Novallas,-2.35,830,850
50191,Novillas,-1.48,532,540
50192,Nuévalos,-4.61,310,325
50193,Nuez de Ebro,1.20,837,827
50194,Olvés,-1.88,104,106
50195,Orcajo,-1.69,58,59
50196,Orera,-3.38,114,118
50197,Orés,9.61,114,104
50198,Oseja,1.92,53,52
50199,Osera de Ebro,-2.27,386,395
50200,Paniza,-3.94,609,634
50201,Paracuellos de Jiloca,-1.49,592,601
50202,Paracuellos de la Ribera,-9.49,143,158
50203,Pastriz,0.30,1297,1293
50204,Pedrola,1.68,3568,3509
50205,Pedrosas Las,-3.33,87,90
50206,Perdiguera,-0.86,572,577
50207,Piedratajada,-2.06,95,97
50208,Pina de Ebro,-0.46,2362,2373
50209,Pinseque,1.66,3973,3908
50210,Pintanos Los,0,37,37
50211,Plasencia de Jalón,0.99,306,303
50212,Pleitas,-5.55,34,36
50213,Plenas,4.95,106,101
50214,Pomer,0,22,22
50215,Pozuel de Ariza,0,21,21
50216,Pozuelo de Aragón,4.22,296,284
50217,Pradilla de Ebro,-1.91,563,574
50218,Puebla de Albortón,-1.66,118,120
50219,La Puebla de Alfindén,2.10,6303,6173
50220,Puendeluna,0,44,44
50221,Purujosa,-2.77,35,36
50222,Quinto,-0.46,1939,1948
50223,Remolinos,0.46,1086,1081
50224,Retascón,-9.45,67,74
50225,Ricla,1.13,2847,2815
50227,Romanos,7.56,128,119
50228,Rueda de Jalón,-4.61,310,325
50229,Ruesca,8.33,78,72
50230,Sádaba,0,1324,1324
50231,Salillas de Jalón,3.61,315,304
50232,Salvatierra de Esca,0.50,199,198
50233,Samper del Salz,-1.78,110,112
50234,San Martín de la Virgen de Moncayo,-3.14,277,286
50235,San Mateo de Gállego,3.19,3234,3134
50236,Santa Cruz de Grío,7.40,116,108
50237,Santa Cruz de Moncayo,4.00,130,125
50238,Santa Eulalia de Gállego,-3.06,95,98
50239,Santed,3.27,63,61
50240,Sástago,-1.36,1154,1170
50241,Sabiñán,4.63,723,691
50242,Sediles,7.36,102,95
50243,Sestrica,-4.86,352,370
50244,Sierra de Luna,5.92,268,253
50245,Sigüés,-5.68,83,88
50246,Sisamón,-6.45,29,31
50247,Sobradiel,0.64,1096,1089
50248,Sos del Rey Católico,0.34,590,588
50249,Tabuenca,-2.78,314,323
50250,Talamantes,1.58,64,63
50251,Tarazona,0.22,10533,10509
50252,Tauste,-0.02,6912,6914
50253,Terrer,-7.83,447,485
50254,Tierga,-3.12,186,192
50255,Tobed,0,214,214
50256,Torralba de los Frailes,-8.13,79,86
50257,Torralba de Ribota,1.16,174,172
50258,Torralbilla,-9.83,55,61
50259,Torrehermosa,-6.34,59,63
50260,Torrelapaja,0,32,32
50261,Torrellas,0,250,250
50262,Torres de Berrellén,0,1446,1446
50263,Torrijo de la Cañada,-3.39,199,206
50264,Tosos,1.66,183,180
50265,Trasmoz,-3.37,86,89
50266,Trasobares,1.66,122,120
50267,Uncastillo,-2.15,636,650
50268,Undués de Lerda,-9.09,50,55
50269,Urrea de Jalón,0,418,418
50270,Urriés,2.63,39,38
50271,Used,-0.73,269,271
50272,Utebo,0.47,18691,18602
50273,Valdehorna,10.00,33,30
50274,Val de San Martín,3.12,66,64
50275,Valmadrid,4.46,117,112
50276,Valpalmas,-1.40,140,142
50277,Valtorres,-10.29,61,68
50278,Velilla de Ebro,0,215,215
50279,Velilla de Jiloca,-3.33,87,90
50280,Vera de Moncayo,-6.11,338,360
50281,Vierlas,4.05,77,74
50282,La Vilueña,-6.49,72,77
50283,Villadoz,4.54,92,88
50284,Villafeliche,-2.35,166,170
50285,Villafranca de Ebro,.36,833,830
50286,Villalba de Perejil,-3.03,96,99
50287,Villalengua,-1.88,313,319
50288,Villanueva de Gállego,1.26,4720,4661
50289,Villanueva de Jiloca,17.39,54,46
50290,Villanueva de Huerva,-4.31,443,463
50291,Villar de los Navarros,3.92,106,102
50292,Villarreal de Huerva,0,274,274
50293,Villarroya de la Sierra,-4.29,446,466
50294,Villarroya del Campo,8.82,74,68
50295,Vistabella,0,49,49
50296,La Zaida,-4.39,435,455
50297,Zaragoza,1.21,674997,666880
50298,Zuera,2.39,8565,8365
50901,Biel,10.00,154,140
50902,Marracos,0,86,86
50903,Villamayor de Gállego,0.89,2720,2696
